movieId,title,release_date,genres,popularity,adult,overview,vote_average,vote_count,poster_url,director,cast,keywords
1339713,Obsession,2026-05-13,Horror|Thriller,697.4596,False,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",8.3,2583,https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,Curry Barker,Michael Johnston|Inde Navarrette|Cooper Tomlinson|Megan Lawless|Andy Richter|Haley Fitzgerald|Darin Toonder|Anthony Pavone|Justice|Anthony Casabianca,obsession|supernatural|possession|wish|unrequited love|couple|angry|nervous|absurdism|self-harm|supernatural horror|psychological|independent film|psychological horror|cursed object|depressing|bitter
1084244,Toy Story 5,2026-06-17,Animation|Family|Comedy|Adventure,668.4493,False,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",7.405,557,https://image.tmdb.org/t/p/w500/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,Andrew Stanton,Tom Hanks|Tim Allen|Joan Cusack|Greta Lee|Conan O'Brien|Craig Robinson|Shelby Rabara|Tony Hale|Scarlett Spears|Jay Hernandez,farm|island|pig|horse|rescue mission|rivalry|sequel|love|stranded|wedding|tire swing|walkie talkie|cowgirl|cowboy|buddy comedy|duringcreditsstinger|toy comes to life|hippo|shocking|abandonment|toilet paper|replacement|toy|frog|3d animation|tablet|ipad
1275779,Disclosure Day,2026-06-10,Science Fiction|Thriller,486.3209,False,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",6.688,847,https://image.tmdb.org/t/p/w500/259wnijEJoJLPuZuscxDTqwnypw.jpg,Steven Spielberg,Emily Blunt|Josh O'Connor|Colin Firth|Colman Domingo|Eve Hewson|Wyatt Russell|Elizabeth Marvel|Henry Lloyd-Hughes|Courtney Grace|Jeremy Shamos,new york city|childhood trauma|alien|on the run|kansas city|mind reading|alien invasion|meteorologist|whistleblower|anxious|conspiracy thriller
1083381,Backrooms,2026-05-27,Horror|Mystery|Science Fiction,405.1727,False,A strange doorway appears in the basement of a furniture showroom.,6.821,984,https://image.tmdb.org/t/p/w500/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,Kane Parsons,Chiwetel Ejiofor|Renate Reinsve|Mark Duplass|Finn Bennett|Lukita Maxwell|Avan Jogia|Robert Bobroczkyi|Ember Ambrose|Krista Kosonen|Philip Granger,california|monster|therapist|surrealism|childhood trauma|alcoholism|found footage|1990s|other dimension|based on web series|psychological|liminal|body horror|psychological horror|liminal space|analog horror|sci-fi horror|bewildered|foreboding|liminal horror
1273221,Scary Movie,2026-06-03,Comedy|Horror,409.2206,False,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",5.4,436,https://image.tmdb.org/t/p/w500/1KlYdWoOrbL5ux357rW9LC155qw.jpg,Michael Tiddes,Marlon Wayans|Shawn Wayans|Anna Faris|Regina Hall|Damon Wayans Jr.|Gregg Wayans|Kim Wayans|Benny Zielke|Cameron Scott Roberts|Cheri Oteri,parody|sequel|slapstick comedy|crude humor|animated scene|slasher|horror spoof|dildo|reboot|duringcreditsstinger|mother daughter estrangement|legacy|offensive|cosmetic surgery|weed|horror parody|social media influencer|livestream|stoner comedy|farcical|frustrated|meta humor|gross out|raunchy
1314481,The Devil Wears Prada 2,2026-04-29,Comedy|Drama,321.2682,False,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",7.058,1377,https://image.tmdb.org/t/p/w500/fCAURTUx3YfsJ8k9I0UamjSILiR.jpg,David Frankel,Meryl Streep|Anne Hathaway|Emily Blunt|Stanley Tucci|Kenneth Branagh|Justin Theroux|Lucy Liu|Tracie Thoms|Tibor Feldman|B.J. Novak,new york city|based on novel or book|sequel|fashion|fashion magazine|dramedy|magazine editor|fashion industry|fashionista
1368314,Passenger,2026-05-20,Horror|Thriller,232.1839,False,"After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",6.729,229,https://image.tmdb.org/t/p/w500/2sOEJzhPzjTkZSlPbGxOJ7xgIyS.jpg,André Øvredal,Lou Llobell|Jacob Scipio|Melissa Leo|Joseph Lopez|Tony Doupe|Bonni Dichone|Devielle Johnson|Jessica Cruz|Miles Fowler|Alan Trong,stalker|road trip|evil spirit|couple|demonic|supernatural horror|vanlife
1413976,Citizen Vigilante,2026-06-19,Thriller|Action|Crime,228.9896,False,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.",6.544,225,https://image.tmdb.org/t/p/w500/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,Uwe Boll,Armie Hammer|Costas Mandylor|Désirée Giorgetti|Steffen Mennekes|Neb Chupin|Mukit Abdul Hamid|Fares Mongi|Hila Harush|Helen Al-Janabi|Dora Dimić Rakar,rape|corruption|police|immigration|rape victim|murder|vigilante|justice|news report|aggressive|thoughtful|loving|vigilante justice|bar|inspirational|provocative|business owner|nonlinear narrative|exuberant|hopeful|instructive|optimistic|sincere|anonymous|interpol agent|graphic violence|viral sensation|righteous kill|anti woke
1127384,Deep Water,2026-04-30,Horror|Thriller,195.0647,False,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,7.269,182,https://image.tmdb.org/t/p/w500/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,Renny Harlin,Aaron Eckhart|Ben Kingsley|Molly Belle Wright|Angus Sampson|Elijah Tamati|Zhao Simei|Li Wenhan|Nashi|Richard Crouchley|Madeleine West,shark
936075,Michael,2026-04-22,Music|Drama,167.0007,False,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",8.707,3410,https://image.tmdb.org/t/p/w500/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,Antoine Fuqua,Jaafar Jackson|Colman Domingo|Nia Long|Juliano Krue Valdi|KeiLyn Durrel Jones|Miles Teller|Larenz Tate|Laura Harrier|Mike Myers|Kendrick Sampson,child abuse|sibling relationship|1970s|abusive father|ambition|biography|singer|period drama|music history|price of fame|singer-songwriter|rise to fame|1980s|1960s|music|biographical drama|music drama|biopic
